id,billingDocumentItem,material,billingQuantity,billingQuantityUnit,netAmount,transactionCurrency,order_id,referenceSdDocumentItem
90504239,10,S8907367008620,1,PC,253.39,INR,80738066,10
90504241,10,S8907367013532,1,PC,180.34,INR,80738067,10
90504242,10,S8907367025344,1,PC,151.69,INR,80738068,10
90504243,20,S8907367001836,1,PC,0.0,INR,80738069,20
90504245,10,S8907367039280,1,PC,329.66,INR,80738070,10
90504246,10,S8907367038122,1,PC,221.19,INR,80738071,10
90504249,10,S8907367010814,1,PC,320.42,INR,80738073,10
90504250,10,S8907367041993,1,PC,422.88,INR,80738074,10
90504252,20,S8907367013532,1,PC,0.0,INR,80738075,20
90504253,20,S8907367035978,1,PC,0.0,INR,80738076,20
90504255,20,S8907367035961,1,PC,0.0,INR,80738077,20
90504256,10,S8907367013532,1,PC,179.66,INR,80738078,10
90504257,10,S8907367016144,1,PC,375.42,INR,80738079,10
90504259,10,S8907367008620,1,PC,253.39,INR,80738080,10
90504260,10,S8907367037156,1,PC,422.03,INR,80738081,10
90504262,10,S8907367003380,1,PC,240.72,INR,80738082,10
90504265,20,S8907367010814,1,PC,0.0,INR,80738084,20
90504266,10,S8907367035664,1,PC,422.03,INR,80738085,10
90504376,10,S8907367038122,1,PC,221.19,INR,80737922,10
90504406,10,S8907367013532,1,PC,179.66,INR,80737921,10
90504214,10,B8907367032571,1,PC,272.88,INR,80738047,10
90504263,10,S8907367008620,2,PC,481.44,INR,80738083,10
90504235,10,S8907367026433,2,PC,310.76,INR,80738063,10
91150174,10,B8907367037842,1,PC,761.86,INR,80738084,10
91150188,10,B8907367002246,1,PC,1301.82,INR,80738069,10
91150106,10,S8907367013532,1,PC,179.66,INR,80737921,10
91150114,10,S8907367038122,1,PC,221.19,INR,80737922,10
91150173,10,S8907367035664,1,PC,422.03,INR,80738085,10
91150175,10,S8907367008620,2,PC,481.44,INR,80738083,10
91150176,10,S8907367003380,1,PC,240.72,INR,80738082,10
91150177,10,S8907367037156,1,PC,422.03,INR,80738081,10
91150178,10,S8907367008620,1,PC,253.39,INR,80738080,10
91150179,10,S8907367016144,1,PC,375.42,INR,80738079,10
91150180,10,S8907367013532,1,PC,179.66,INR,80738078,10
91150181,10,B8907367037859,1,PC,439.83,INR,80738077,10
91150182,10,B8907367037859,1,PC,439.83,INR,80738076,10
91150183,10,B8907367015697,1,PC,429.66,INR,80738075,10
91150184,10,S8907367041993,1,PC,422.88,INR,80738074,10
91150185,10,S8907367010814,1,PC,320.42,INR,80738073,10
91150186,10,S8907367038122,1,PC,221.19,INR,80738071,10
91150187,10,S8907367039280,1,PC,329.66,INR,80738070,10
91150189,10,S8907367025344,1,PC,151.69,INR,80738068,10
91150190,10,S8907367013532,1,PC,180.34,INR,80738067,10
91150191,10,S8907367008620,1,PC,253.39,INR,80738066,10
91150192,10,S8907367008620,1,PC,287.29,INR,80738065,10
91150193,10,S8907367028192,1,PC,168.64,INR,80738064,10
91150194,10,S8907367026433,2,PC,310.76,INR,80738063,10
91150195,10,S8907367004448,1,PC,215.25,INR,80738062,10
91150196,10,S8907367013532,1,PC,179.66,INR,80738061,10
91150197,10,S8907367001003,1,PC,216.1,INR,80738060,10
91150198,10,S8907367008620,1,PC,253.39,INR,80738059,10
91150199,10,S8907367038108,1,PC,208.52,INR,80738058,10
91150200,10,S8907367025344,1,PC,185.59,INR,80738057,10
91150201,10,S8907367002512,1,PC,215.25,INR,80738056,10
91150202,10,S8907367008620,1,PC,253.39,INR,80738055,10
91150203,10,S8907367039280,1,PC,363.56,INR,80738054,10
91150204,10,S8907367039280,1,PC,329.66,INR,80738053,10
91150205,10,S8907367039280,1,PC,363.56,INR,80738052,10
91150206,10,S8907367008620,1,PC,253.39,INR,80738051,10
91150207,10,S8907367039280,1,PC,329.66,INR,80738050,10
91150208,10,S8907367039280,1,PC,363.56,INR,80738049,10
91150209,10,S8907367039280,1,PC,363.56,INR,80738048,10
91150210,10,B8907367032571,1,PC,272.88,INR,80738047,10
91150211,10,S8907367039280,1,PC,363.56,INR,80738046,10
91150212,10,S8907367039280,1,PC,363.56,INR,80738045,10
91150213,10,S8907367039280,1,PC,363.56,INR,80738044,10
91150214,10,S8907367002512,1,PC,249.15,INR,80738043,10
91150215,10,S8907367001003,1,PC,250.0,INR,80738042,10
91150216,10,S8907367038122,1,PC,221.19,INR,80738041,10
91150217,10,S8907367013532,1,PC,229.66,INR,80738040,10
